geoid,Tract Number,Neighborhood,Location,Latitude,Longitude,Census_Tract
06037108103,108103,Porter Ranch,"(34.2860705, -118.542893)",34.2860705,-118.542893,Census Tract 1081.03
06037108104,108104,Porter Ranch,"(34.2939525, -118.5470515)",34.2939525,-118.5470515,Census Tract 1081.04
06037108201,108201,Porter Ranch,"(34.2857885, -118.562083)",34.2857885,-118.562083,Census Tract 1082.01
06037108202,108202,Chatsworth,"(34.288396, -118.581814)",34.288396,-118.581814,Census Tract 1082.02
06037109100,109100,Mission Hills,"(34.278731, -118.4610295)",34.278731,-118.4610295,Census Tract 1091
06037109200,109200,Granada Hills,"(34.2786785, -118.474608)",34.2786785,-118.474608,Census Tract 1092
06037109300,109300,Granada Hills,"(34.272521, -118.479515)",34.272521,-118.479515,Census Tract 1093
06037109400,109400,Mission Hills,"(34.269881, -118.4552825)",34.269881,-118.4552825,Census Tract 1094
06037109500,109500,San Fernando,"(34.274036, -118.4444575)",34.274036,-118.4444575,Census Tract 1095
06037113237,113237,Chatsworth,"(34.2451855, -118.6125745)",34.2451855,-118.6125745,Census Tract 1132.37
06037109601,109601,Mission Hills,"(34.2582765, -118.450367)",34.2582765,-118.450367,Census Tract 1096.01
06037109603,109603,Mission Hills,"(34.2536515, -118.465415)",34.2536515,-118.465415,Census Tract 1096.03
06037109604,109604,Mission Hills,"(34.2615535, -118.465347)",34.2615535,-118.465347,Census Tract 1096.04
06037109700,109700,Granada Hills,"(34.263394, -118.4810215)",34.263394,-118.4810215,Census Tract 1097
06037109800,109800,North Hills,"(34.2537535, -118.481817)",34.2537535,-118.481817,Census Tract 1098
06037111100,111100,Granada Hills,"(34.2683575, -118.4946735)",34.2683575,-118.4946735,Census Tract 1111
06037111201,111201,Granada Hills,"(34.275029, -118.50855)",34.275029,-118.50855,Census Tract 1112.01
06037111202,111202,Granada Hills,"(34.2683485, -118.5151565)",34.2683485,-118.5151565,Census Tract 1112.02
